"","taxon_name","genus","family","leaf_length","seed_width","seed_length","plant_height","leaf_width","seed_height","leaf_area","wood_density","leaf_thickness"
"18622","Ptilotus subspinescens","Ptilotus","Amaranthaceae",NA,NA,NA,0.8,NA,NA,NA,NA,NA
"18623","Ptilotus tetrandrus","Ptilotus","Amaranthaceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18624","Ptilotus villosiflorus","Ptilotus","Amaranthaceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18625","Quinqueremulus linearis","Quinqueremulus","Asteraceae",NA,NA,NA,0.1,NA,NA,NA,NA,NA
"18626","Reedia spathacea","Reedia","Cyperaceae",750,NA,NA,4,10.5,NA,NA,NA,NA
"18627","Regelia ciliata","Regelia","Myrtaceae",6,NA,NA,2.3,4.5,NA,NA,NA,NA
"18628","Regelia cymbifolia","Regelia","Myrtaceae",NA,NA,NA,2,NA,NA,NA,NA,NA
"18629","Regelia megacephala","Regelia","Myrtaceae",NA,NA,NA,5,NA,NA,NA,NA,NA
"18630","Regelia velutina","Regelia","Myrtaceae",NA,NA,NA,6,NA,NA,NA,NA,NA
"18631","Rhadinothamnus anceps","Rhadinothamnus","Rutaceae",80,NA,NA,3,20.5,NA,NA,NA,NA
"18632","Rhadinothamnus euphemiae","Rhadinothamnus","Rutaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18633","Rhadinothamnus rudis","Rhadinothamnus","Rutaceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA
"18634","Rhetinocarpha suffruticosa","Rhetinocarpha","Asteraceae",NA,NA,NA,0.8,NA,NA,NA,NA,NA
"18635","Rhodanthe ascendens","Rhodanthe","Asteraceae",NA,NA,NA,0.1,NA,NA,NA,NA,NA
"18636","Rhodanthe battii","Rhodanthe","Asteraceae",NA,NA,NA,0.6,NA,NA,NA,NA,NA
"18637","Rhodanthe collina","Rhodanthe","Asteraceae",NA,NA,NA,0.25,NA,NA,NA,NA,NA
"18638","Rhodanthe condensata","Rhodanthe","Asteraceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18639","Rhodanthe corymbosa","Rhodanthe","Asteraceae",30,NA,NA,0.6,1.75,NA,NA,NA,NA
"18640","Rhodanthe cremea","Rhodanthe","Asteraceae",NA,NA,NA,0.25,NA,NA,NA,NA,NA
"18641","Rhodanthe forrestii","Rhodanthe","Asteraceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18642","Rhodanthe frenchii","Rhodanthe","Asteraceae",NA,NA,NA,0.35,NA,NA,NA,NA,NA
"18643","Rhodanthe fuscescens","Rhodanthe","Asteraceae",NA,NA,NA,0.1,NA,NA,NA,NA,NA
"18644","Rhodanthe haigii","Rhodanthe","Asteraceae",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"18645","Rhodanthe heterantha","Rhodanthe","Asteraceae",NA,NA,NA,0.15,NA,NA,NA,NA,NA
"18646","Rhodanthe humboldtiana","Rhodanthe","Asteraceae",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"18647","Rhodanthe margarethae","Rhodanthe","Asteraceae",NA,NA,NA,0.8,NA,NA,NA,NA,NA
"18648","Rhodanthe maryonii","Rhodanthe","Asteraceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA
"18649","Rhodanthe nullarborensis","Rhodanthe","Asteraceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18650","Rhodanthe oppositifolia","Rhodanthe","Asteraceae",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"18651","Rhodanthe propinqua","Rhodanthe","Asteraceae",NA,NA,NA,0.15,NA,NA,NA,NA,NA
"18652","Rhodanthe psammophila","Rhodanthe","Asteraceae",NA,NA,NA,0.6,NA,NA,NA,NA,NA
"18653","Rhodanthe pyrethrum","Rhodanthe","Asteraceae",7,NA,NA,0.2,1.25,NA,NA,NA,NA
"18654","Rhodanthe rubella","Rhodanthe","Asteraceae",NA,NA,NA,0.2,NA,NA,NA,NA,NA
"18655","Rhodanthe sphaerocephala","Rhodanthe","Asteraceae",NA,NA,NA,0.25,NA,NA,NA,NA,NA
"18656","Rhodanthe sterilescens","Rhodanthe","Asteraceae",NA,NA,NA,0.35,NA,NA,NA,NA,NA
"18657","Rhynchospora exserta","Rhynchospora","Cyperaceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18658","Rhynchospora heterochaeta","Rhynchospora","Cyperaceae",NA,NA,NA,0.6,NA,NA,NA,NA,NA
"18659","Rhynchospora pterochaeta","Rhynchospora","Cyperaceae",NA,NA,NA,0.8,NA,NA,NA,NA,NA
"18660","Rhynchospora submarginata","Rhynchospora","Cyperaceae",NA,NA,NA,0.6,NA,NA,NA,NA,NA
"18661","Rhynchospora subtenuifolia","Rhynchospora","Cyperaceae",NA,NA,NA,0.4,NA,NA,NA,NA,NA
"18662","Ricinocarpos brevis","Ricinocarpos","Euphorbiaceae",NA,NA,NA,1.8,NA,NA,NA,NA,NA
"18663","Ricinocarpos cyanescens","Ricinocarpos","Euphorbiaceae",NA,NA,NA,3,NA,NA,NA,NA,NA
"18664","Ricinocarpos glaucus","Ricinocarpos","Euphorbiaceae",28.5,NA,NA,2,2,NA,NA,NA,NA
"18665","Ricinocarpos graniticus","Ricinocarpos","Euphorbiaceae",NA,NA,NA,2,NA,NA,NA,NA,NA
"18666","Ricinocarpos marginatus","Ricinocarpos","Euphorbiaceae",NA,NA,NA,3,NA,NA,NA,NA,NA
"18667","Ricinocarpos megalocarpus","Ricinocarpos","Euphorbiaceae",NA,NA,NA,2.5,NA,NA,NA,NA,NA
"18668","Ricinocarpos muricatus","Ricinocarpos","Euphorbiaceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA
"18669","Ricinocarpos oliganthus","Ricinocarpos","Euphorbiaceae",NA,NA,NA,1.8,NA,NA,NA,NA,NA
"18670","Ricinocarpos pilifer","Ricinocarpos","Euphorbiaceae",NA,NA,NA,0.6,NA,NA,NA,NA,NA
"18671","Ricinocarpos psilocladus","Ricinocarpos","Euphorbiaceae",NA,NA,NA,1.8,NA,NA,NA,NA,NA
"18672","Ricinocarpos rosmarinifolius","Ricinocarpos","Euphorbiaceae",NA,NA,NA,2,NA,NA,NA,NA,NA
"18673","Ricinocarpos stylosus","Ricinocarpos","Euphorbiaceae",NA,NA,NA,2,NA,NA,NA,NA,NA
"18674","Ricinocarpos trichophorus","Ricinocarpos","Euphorbiaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18675","Ricinocarpos trichophyllus","Ricinocarpos","Euphorbiaceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA
"18676","Ricinocarpos tuberculatus","Ricinocarpos","Euphorbiaceae",NA,NA,NA,3,NA,NA,NA,NA,NA
"18677","Ricinocarpos undulatus","Ricinocarpos","Euphorbiaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18678","Ricinocarpos velutinus","Ricinocarpos","Euphorbiaceae",NA,NA,NA,2,NA,NA,NA,NA,NA
"18679","Rinzia affinis","Rinzia","Myrtaceae",NA,NA,NA,0.7,NA,NA,NA,NA,NA
"18680","Rinzia carnosa","Rinzia","Myrtaceae",NA,NA,NA,1.3,NA,NA,NA,NA,NA
"18681","Rinzia communis","Rinzia","Myrtaceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18682","Rinzia crassifolia","Rinzia","Myrtaceae",NA,NA,NA,0.2,NA,NA,NA,NA,NA
"18683","Rinzia dimorphandra","Rinzia","Myrtaceae",NA,NA,NA,0.25,NA,NA,NA,NA,NA
"18684","Rinzia fumana","Rinzia","Myrtaceae",NA,NA,NA,0.25,NA,NA,NA,NA,NA
"18685","Rinzia longifolia","Rinzia","Myrtaceae",NA,NA,NA,0.4,NA,NA,NA,NA,NA
"18686","Rinzia morrisonii","Rinzia","Myrtaceae",NA,NA,NA,0.4,NA,NA,NA,NA,NA
"18687","Rinzia rubra","Rinzia","Myrtaceae",NA,NA,NA,0.7,NA,NA,NA,NA,NA
"18688","Rinzia schollerifolia","Rinzia","Myrtaceae",6.5,NA,NA,0.3,1.75,NA,NA,NA,NA
"18689","Rinzia sessilis","Rinzia","Myrtaceae",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"18690","Ruellia tuberosa","Ruellia","Acanthaceae",NA,NA,NA,0.4,NA,NA,NA,NA,NA
"18691","Rumex drummondii","Rumex","Polygonaceae",NA,NA,NA,0.9,NA,NA,NA,NA,NA
"18692","Salomonia ciliata","Salomonia","Polygalaceae",NA,NA,NA,0.35,NA,NA,NA,NA,NA
"18693","Samolus junceus","Samolus","Primulaceae",30,NA,NA,1.2,7.5,NA,NA,NA,NA
"18694","Sauropus arenosus","Sauropus","Phyllanthaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18695","Sauropus crassifolius","Sauropus","Phyllanthaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18696","Scaevola archeriana","Scaevola","Goodeniaceae",NA,NA,NA,0.45,NA,NA,NA,NA,NA
"18697","Scaevola ballajupensis","Scaevola","Goodeniaceae",NA,NA,NA,0.15,NA,NA,NA,NA,NA
"18698","Scaevola repens","Scaevola","Goodeniaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18699","Schoenia ayersii","Schoenia","Asteraceae",NA,NA,NA,0.7,NA,NA,NA,NA,NA
"18700","Schoenia filifolia","Schoenia","Asteraceae",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"18701","Schoenia macivorii","Schoenia","Asteraceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18702","Schoenolaena juncea","Schoenolaena","Apiaceae",200,NA,NA,0.75,1,NA,NA,NA,NA
"18703","Schoenoplectiella lateriflora","Schoenoplectiella","Cyperaceae",NA,NA,NA,0.45,NA,NA,NA,NA,NA
"18704","Schoenoplectiella praelongata","Schoenoplectiella","Cyperaceae",NA,NA,NA,0.7,NA,NA,NA,NA,NA
"18705","Schoenoplectus subulatus","Schoenoplectus","Cyperaceae",NA,NA,NA,2.8,NA,NA,NA,NA,NA
"18706","Schoenus acuminatus","Schoenus","Cyperaceae",40,NA,NA,0.6,0.75,NA,NA,NA,NA
"18707","Schoenus andrewsii","Schoenus","Cyperaceae",NA,NA,NA,0.35,NA,NA,NA,NA,NA
"18708","Schoenus armeria","Schoenus","Cyperaceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18709","Schoenus asperocarpus","Schoenus","Cyperaceae",175,NA,NA,1,0.75,NA,NA,NA,NA
"18710","Schoenus badius","Schoenus","Cyperaceae",NA,NA,NA,0.12,NA,NA,NA,NA,NA
"18711","Schoenus benthamii","Schoenus","Cyperaceae",67.5,NA,NA,0.45,0.5,NA,NA,NA,NA
"18712","Schoenus bifidus","Schoenus","Cyperaceae",77.5,NA,NA,0.45,0.5,NA,NA,NA,NA
"18713","Schoenus brevisetis","Schoenus","Cyperaceae",65,NA,NA,0.4,0.5,NA,NA,NA,NA
"18714","Schoenus caespititius","Schoenus","Cyperaceae",40,NA,NA,0.8,0.5,NA,NA,NA,NA
"18715","Schoenus capillifolius","Schoenus","Cyperaceae",NA,NA,NA,0.05,NA,NA,NA,NA,NA
"18716","Schoenus centralis","Schoenus","Cyperaceae",NA,NA,NA,0.05,NA,NA,NA,NA,NA
"18717","Schoenus clandestinus","Schoenus","Cyperaceae",NA,NA,NA,0.07,NA,NA,NA,NA,NA
"18718","Schoenus cruentus","Schoenus","Cyperaceae",100,NA,NA,0.7,0.5,NA,NA,NA,NA
"18719","Schoenus curvifolius","Schoenus","Cyperaceae",125,NA,NA,0.4,0.75,NA,NA,NA,NA
"18720","Schoenus efoliatus","Schoenus","Cyperaceae",5.5,NA,NA,1,0.5,NA,NA,NA,NA
"18721","Schoenus elegans","Schoenus","Cyperaceae",65,NA,NA,0.3,0.5,NA,NA,NA,NA
"18722","Schoenus falcatus","Schoenus","Cyperaceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA
"18723","Schoenus grammatophyllus","Schoenus","Cyperaceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18724","Schoenus grandiflorus","Schoenus","Cyperaceae",275,NA,NA,1.5,10,NA,NA,NA,NA
"18725","Schoenus griffinianus","Schoenus","Cyperaceae",NA,NA,NA,0.1,NA,NA,NA,NA,NA
"18726","Schoenus hexandrus","Schoenus","Cyperaceae",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"18727","Schoenus humilis","Schoenus","Cyperaceae",NA,NA,NA,0.1,NA,NA,NA,NA,NA
"18728","Schoenus indutus","Schoenus","Cyperaceae",50,NA,NA,0.6,0.75,NA,NA,NA,NA
"18729","Schoenus insolitus","Schoenus","Cyperaceae",NA,NA,NA,0.45,NA,NA,NA,NA,NA
"18730","Schoenus lanatus","Schoenus","Cyperaceae",NA,NA,NA,0.7,NA,NA,NA,NA,NA
"18731","Schoenus latitans","Schoenus","Cyperaceae",NA,NA,NA,0.04,NA,NA,NA,NA,NA
"18732","Schoenus loliaceus","Schoenus","Cyperaceae",NA,NA,NA,0.06,NA,NA,NA,NA,NA
"18733","Schoenus minutulus","Schoenus","Cyperaceae",NA,NA,NA,0.06,NA,NA,NA,NA,NA
"18734","Schoenus multiglumis","Schoenus","Cyperaceae",2,NA,NA,1.3,0.5,NA,NA,NA,NA
"18735","Schoenus natans","Schoenus","Cyperaceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18736","Schoenus obtusifolius","Schoenus","Cyperaceae",80,NA,NA,0.3,1.25,NA,NA,NA,NA
"18737","Schoenus odontocarpus","Schoenus","Cyperaceae",25,NA,NA,0.15,0.3,NA,NA,NA,NA
"18738","Schoenus pedicellatus","Schoenus","Cyperaceae",NA,NA,NA,0.75,NA,NA,NA,NA,NA
"18739","Schoenus pennisetis","Schoenus","Cyperaceae",22.5,NA,NA,0.15,0.3,NA,NA,NA,NA
"18740","Schoenus pleiostemoneus","Schoenus","Cyperaceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18741","Schoenus plumosus","Schoenus","Cyperaceae",80,NA,NA,0.18,0.85,NA,NA,NA,NA
"18742","Schoenus punctatus","Schoenus","Cyperaceae",NA,NA,NA,0.6,NA,NA,NA,NA,NA
"18743","Schoenus racemosus","Schoenus","Cyperaceae",NA,NA,NA,0.35,NA,NA,NA,NA,NA
"18744","Schoenus rigens","Schoenus","Cyperaceae",175,NA,NA,0.6,1,NA,NA,NA,NA
"18745","Schoenus subbarbatus","Schoenus","Cyperaceae",108,NA,NA,0.4,0.5,NA,NA,NA,NA
"18746","Schoenus subbulbosus","Schoenus","Cyperaceae",95,NA,NA,0.35,0.5,NA,NA,NA,NA
"18747","Schoenus subfascicularis","Schoenus","Cyperaceae",NA,NA,NA,1,0.75,NA,NA,NA,NA
"18748","Schoenus subflavus","Schoenus","Cyperaceae",155,NA,NA,0.3,1,NA,NA,NA,NA
"18749","Schoenus sublateralis","Schoenus","Cyperaceae",105,NA,NA,0.2,0.3,NA,NA,NA,NA
"18750","Schoenus sublaxus","Schoenus","Cyperaceae",52.5,NA,NA,0.9,0.5,NA,NA,NA,NA
"18751","Schoenus submicrostachyus","Schoenus","Cyperaceae",NA,NA,NA,0.5,0.5,NA,NA,NA,NA
"18752","Schoenus tenellus","Schoenus","Cyperaceae",NA,NA,NA,0.1,NA,NA,NA,NA,NA
"18753","Schoenus trachycarpus","Schoenus","Cyperaceae",NA,NA,NA,0.2,NA,NA,NA,NA,NA
"18754","Schoenus unispiculatus","Schoenus","Cyperaceae",75,NA,NA,0.45,0.75,NA,NA,NA,NA
"18755","Schoenus variicellae","Schoenus","Cyperaceae",30,NA,NA,0.16,0.3,NA,NA,NA,NA
"18756","Scholtzia capitata","Scholtzia","Myrtaceae",NA,NA,NA,2.5,NA,NA,NA,NA,NA
"18757","Scholtzia ciliata","Scholtzia","Myrtaceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA
"18758","Scholtzia drummondii","Scholtzia","Myrtaceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA
"18759","Scholtzia eatoniana","Scholtzia","Myrtaceae",NA,NA,NA,0.15,NA,NA,NA,NA,NA
"18760","Scholtzia involucrata","Scholtzia","Myrtaceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA
"18761","Scholtzia laxiflora","Scholtzia","Myrtaceae",NA,NA,NA,2,NA,NA,NA,NA,NA
"18762","Scholtzia leptantha","Scholtzia","Myrtaceae",NA,NA,NA,2,NA,NA,NA,NA,NA
"18763","Scholtzia oligandra","Scholtzia","Myrtaceae",NA,NA,NA,3,NA,NA,NA,NA,NA
"18764","Scholtzia parviflora","Scholtzia","Myrtaceae",NA,NA,NA,3,NA,NA,NA,NA,NA
"18765","Scholtzia spatulata","Scholtzia","Myrtaceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA
"18766","Scholtzia teretifolia","Scholtzia","Myrtaceae",NA,NA,NA,0.2,NA,NA,NA,NA,NA
"18767","Scholtzia uberiflora","Scholtzia","Myrtaceae",NA,NA,NA,2.5,NA,NA,NA,NA,NA
"18768","Scleria brownii","Scleria","Cyperaceae",NA,NA,NA,0.8,NA,NA,NA,NA,NA
"18769","Scleria lingulata","Scleria","Cyperaceae",NA,NA,NA,2,NA,NA,NA,NA,NA
"18770","Scleria novae-hollandiae","Scleria","Cyperaceae",NA,NA,NA,0.6,NA,NA,NA,NA,NA
"18771","Scleria poiformis","Scleria","Cyperaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18772","Scleria polycarpa","Scleria","Cyperaceae",NA,NA,NA,1.3,NA,NA,NA,NA,NA
"18773","Scleria psilorrhiza","Scleria","Cyperaceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA
"18774","Scleria pygmaea","Scleria","Cyperaceae",NA,NA,NA,0.05,NA,NA,NA,NA,NA
"18775","Senecio condylus","Senecio","Asteraceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18776","Senecio conferruminatus","Senecio","Asteraceae",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"18777","Senecio dolichocephalus","Senecio","Asteraceae",NA,NA,NA,0.6,NA,NA,NA,NA,NA
"18778","Senecio eremicola","Senecio","Asteraceae",NA,NA,NA,0.8,NA,NA,NA,NA,NA
"18779","Senecio euclaensis","Senecio","Asteraceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA
"18780","Senecio gilbertii","Senecio","Asteraceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA
"18781","Senecio glabrescens","Senecio","Asteraceae",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"18782","Senecio hamersleyensis","Senecio","Asteraceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA
"18783","Senecio lacustrinus","Senecio","Asteraceae",NA,NA,NA,0.8,NA,NA,NA,NA,NA
"18784","Senecio leucoglossus","Senecio","Asteraceae",NA,NA,NA,1.3,NA,NA,NA,NA,NA
"18785","Senecio microbasis","Senecio","Asteraceae",NA,NA,NA,0.6,NA,NA,NA,NA,NA
"18786","Senecio multicaulis","Senecio","Asteraceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18787","Senecio oldfieldii","Senecio","Asteraceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18788","Senecio ramosissimus","Senecio","Asteraceae",105,NA,NA,2.5,30,NA,NA,NA,NA
"18789","Senecio serratiformis","Senecio","Asteraceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18790","Senecio spanomerus","Senecio","Asteraceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18791","Senecio warrenensis","Senecio","Asteraceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18792","Serichonus gracilipes","Serichonus","Rhamnaceae",NA,NA,NA,0.7,NA,NA,NA,NA,NA
"18793","Sida arenicola","Sida","Malvaceae",NA,NA,NA,1.2,NA,NA,NA,NA,NA
"18794","Sida arsiniata","Sida","Malvaceae",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"18795","Sida brownii","Sida","Malvaceae",NA,NA,NA,0.45,NA,NA,NA,NA,NA
"18796","Sida cardiophylla","Sida","Malvaceae",NA,NA,NA,1.3,NA,NA,NA,NA,NA
"18797","Sida clementii","Sida","Malvaceae",NA,NA,NA,1.3,NA,NA,NA,NA,NA
"18798","Sida echinocarpa","Sida","Malvaceae",NA,NA,NA,1.2,NA,NA,NA,NA,NA
"18799","Sida ectogama","Sida","Malvaceae",NA,NA,NA,2,NA,NA,NA,NA,NA
"18800","Sida hookeriana","Sida","Malvaceae",25,NA,NA,0.8,32.5,NA,NA,NA,NA
"18801","Sida kingii","Sida","Malvaceae",NA,NA,NA,0.6,NA,NA,NA,NA,NA
"18802","Sida laevis","Sida","Malvaceae",NA,NA,NA,0.6,NA,NA,NA,NA,NA
"18803","Sida macropoda","Sida","Malvaceae",NA,NA,NA,2.5,NA,NA,NA,NA,NA
"18804","Sida platycalyx","Sida","Malvaceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18805","Sida pusilla","Sida","Malvaceae",NA,NA,NA,0.2,NA,NA,NA,NA,NA
"18806","Sida spenceriana","Sida","Malvaceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18807","Siegfriedia darwinioides","Siegfriedia","Rhamnaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18808","Siloxerus filifolius","Siloxerus","Asteraceae",11,NA,NA,0.065,1,NA,NA,NA,NA
"18809","Siloxerus humifusus","Siloxerus","Asteraceae",20,NA,NA,0.1,1.25,NA,NA,NA,NA
"18810","Solanum ashbyae","Solanum","Solanaceae",NA,NA,NA,2.5,NA,NA,NA,NA,NA
"18811","Solanum beaugleholei","Solanum","Solanaceae",NA,NA,NA,2,NA,NA,NA,NA,NA
"18812","Solanum carduiforme","Solanum","Solanaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18813","Solanum chippendalei","Solanum","Solanaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18814","Solanum cunninghamii","Solanum","Solanaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18815","Solanum dioicum","Solanum","Solanaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18816","Solanum diversiflorum","Solanum","Solanaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18817","Solanum gabrielae","Solanum","Solanaceae",NA,NA,NA,0.6,NA,NA,NA,NA,NA
"18818","Solanum hesperium","Solanum","Solanaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18819","Solanum heteropodium","Solanum","Solanaceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA
"18820","Solanum hoplopetalum","Solanum","Solanaceae",95,NA,NA,0.35,30,NA,NA,NA,NA
"18821","Solanum horridum","Solanum","Solanaceae",NA,NA,NA,0.4,NA,NA,NA,NA,NA
"18822","Solanum lachnophyllum","Solanum","Solanaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18823","Solanum leopoldense","Solanum","Solanaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18824","Solanum lucani","Solanum","Solanaceae",NA,NA,NA,0.6,NA,NA,NA,NA,NA
"18825","Solanum nummularium","Solanum","Solanaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18826","Solanum oligandrum","Solanum","Solanaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18827","Solanum orbiculatum","Solanum","Solanaceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA
"18828","Solanum petraeum","Solanum","Solanaceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA
"18829","Solanum phlomoides","Solanum","Solanaceae",NA,NA,NA,2,NA,NA,NA,NA,NA
"18830","Solanum plicatile","Solanum","Solanaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18831","Solanum pugiunculiferum","Solanum","Solanaceae",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"18832","Solanum terraneum","Solanum","Solanaceae",NA,NA,NA,0.1,NA,NA,NA,NA,NA
"18833","Solanum tudununggae","Solanum","Solanaceae",NA,NA,NA,2.5,NA,NA,NA,NA,NA
"18834","Solanum vansittartense","Solanum","Solanaceae",NA,NA,NA,3,NA,NA,NA,NA,NA
"18835","Sondottia connata","Sondottia","Asteraceae",NA,NA,NA,0.12,NA,NA,NA,NA,NA
"18836","Sondottia glabrata","Sondottia","Asteraceae",NA,NA,NA,0.1,NA,NA,NA,NA,NA
"18837","Spermacoce argillacea","Spermacoce","Rubiaceae",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"18838","Spermacoce breviflora","Spermacoce","Rubiaceae",NA,NA,NA,0.45,NA,NA,NA,NA,NA
"18839","Spermacoce constricta","Spermacoce","Rubiaceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18840","Spermacoce dolichosperma","Spermacoce","Rubiaceae",NA,NA,NA,0.4,NA,NA,NA,NA,NA
"18841","Spermacoce gibba","Spermacoce","Rubiaceae",NA,NA,NA,0.7,NA,NA,NA,NA,NA
"18842","Spermacoce hillii","Spermacoce","Rubiaceae",NA,NA,NA,0.15,NA,NA,NA,NA,NA
"18843","Spermacoce laevigata","Spermacoce","Rubiaceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18844","Spermacoce leptoloba","Spermacoce","Rubiaceae",NA,NA,NA,0.2,NA,NA,NA,NA,NA
"18845","Spermacoce occidentalis","Spermacoce","Rubiaceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18846","Spermacoce phaeosperma","Spermacoce","Rubiaceae",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"18847","Spermacoce pogostoma","Spermacoce","Rubiaceae",NA,NA,NA,0.6,NA,NA,NA,NA,NA
"18848","Spermacoce stenophylla","Spermacoce","Rubiaceae",NA,NA,NA,0.7,NA,NA,NA,NA,NA
"18849","Sphaerolobium nudiflorum","Sphaerolobium","Fabaceae",8,NA,NA,0.6,2.75,NA,NA,NA,NA
"18850","Sphaerolobium pubescens","Sphaerolobium","Fabaceae",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"18851","Sphaerolobium pulchellum","Sphaerolobium","Fabaceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"18852","Sphaerolobium racemulosum","Sphaerolobium","Fabaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18853","Sphaerolobium rostratum","Sphaerolobium","Fabaceae",NA,NA,NA,1.6,NA,NA,NA,NA,NA
"18854","Sphaerolobium scabriusculum","Sphaerolobium","Fabaceae",NA,NA,NA,0.6,NA,NA,NA,NA,NA
"18855","Sphaerolobium validum","Sphaerolobium","Fabaceae",NA,NA,NA,0.9,NA,NA,NA,NA,NA
"18856","Sphenotoma capitata","Sphenotoma","Ericaceae",25,NA,NA,1.2,3,NA,NA,NA,NA
"18857","Sphenotoma dracophylloides","Sphenotoma","Ericaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18858","Sphenotoma drummondii","Sphenotoma","Ericaceae",60,NA,NA,0.5,9,NA,NA,NA,NA
"18859","Sphenotoma gracilis","Sphenotoma","Ericaceae",10,NA,NA,1.5,3,NA,NA,NA,NA
"18860","Sphenotoma parviflora","Sphenotoma","Ericaceae",11,NA,NA,1,1,NA,NA,NA,NA
"18861","Sphenotoma squarrosa","Sphenotoma","Ericaceae",37.5,NA,NA,2,5,NA,NA,NA,NA
"18862","Spiculaea ciliata","Spiculaea","Orchidaceae",NA,NA,NA,0.18,NA,NA,NA,NA,NA
"18863","Sporadanthus strictus","Sporadanthus","Restionaceae",9,NA,NA,1,NA,NA,NA,NA,NA
"18864","Spyridium cordatum","Spyridium","Rhamnaceae",NA,NA,NA,0.45,NA,NA,NA,NA,NA
"18865","Spyridium glaucum","Spyridium","Rhamnaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"18866","Spyridium majoranifolium","Spyridium","Rhamnaceae",NA,NA,NA,1.6,NA,NA,NA,NA,NA
